,title,rating,release_year,type,listed_in,Date
1219,The Good Place,TV-14,2018,TV Show,TV Comedies,9/1/2019
1220,The Good Place,TV-14,2018,TV Show,TV Comedies,9/1/2019
1221,The Good Place,TV-14,2018,TV Show,TV Comedies,9/1/2019
1222,The Good Place,TV-14,2018,TV Show,TV Comedies,9/1/2019
1223,The Good Place,TV-14,2018,TV Show,TV Comedies,8/31/2019
1224,The Good Place,TV-14,2018,TV Show,TV Comedies,12/23/2018
1225,The Good Place,TV-14,2018,TV Show,TV Comedies,12/23/2018
1226,The Good Place,TV-14,2018,TV Show,TV Comedies,12/23/2018
1227,The Good Place,TV-14,2018,TV Show,TV Comedies,12/23/2018
1228,The Good Place,TV-14,2018,TV Show,TV Comedies,12/23/2018
1229,The Good Place,TV-14,2018,TV Show,TV Comedies,12/23/2018
1230,The Good Place,TV-14,2018,TV Show,TV Comedies,12/22/2018
1231,The Good Place,TV-14,2018,TV Show,TV Comedies,12/20/2018
1232,The Good Place,TV-14,2018,TV Show,TV Comedies,12/16/2018
1233,The Good Place,TV-14,2018,TV Show,TV Comedies,12/16/2018
1234,The Good Place,TV-14,2018,TV Show,TV Comedies,10/30/2018
1235,13 Reasons Why,TV-MA,2019,TV Show,"Crime TV Shows, TV Dramas, TV Mysteries",5/20/2018
1236,13 Reasons Why,TV-MA,2019,TV Show,"Crime TV Shows, TV Dramas, TV Mysteries",5/20/2018
1237,13 Reasons Why,TV-MA,2019,TV Show,"Crime TV Shows, TV Dramas, TV Mysteries",5/20/2018
1238,13 Reasons Why,TV-MA,2019,TV Show,"Crime TV Shows, TV Dramas, TV Mysteries",5/20/2018
1239,13 Reasons Why,TV-MA,2019,TV Show,"Crime TV Shows, TV Dramas, TV Mysteries",5/20/2018
1240,13 Reasons Why,TV-MA,2019,TV Show,"Crime TV Shows, TV Dramas, TV Mysteries",5/20/2018
1241,13 Reasons Why,TV-MA,2019,TV Show,"Crime TV Shows, TV Dramas, TV Mysteries",5/20/2018
1242,13 Reasons Why,TV-MA,2019,TV Show,"Crime TV Shows, TV Dramas, TV Mysteries",5/19/2018
1243,13 Reasons Why,TV-MA,2019,TV Show,"Crime TV Shows, TV Dramas, TV Mysteries",5/19/2018
1244,13 Reasons Why,TV-MA,2019,TV Show,"Crime TV Shows, TV Dramas, TV Mysteries",5/19/2018
1245,13 Reasons Why,TV-MA,2019,TV Show,"Crime TV Shows, TV Dramas, TV Mysteries",5/19/2018
1246,13 Reasons Why,TV-MA,2019,TV Show,"Crime TV Shows, TV Dramas, TV Mysteries",5/18/2018
1247,13 Reasons Why,TV-MA,2019,TV Show,"Crime TV Shows, TV Dramas, TV Mysteries",5/18/2018
1248,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",10/16/2019
1249,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",10/14/2019
1250,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",10/14/2019
1251,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",10/14/2019
1252,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",10/14/2019
1253,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",10/14/2019
1254,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",10/13/2019
1255,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",10/13/2019
1256,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",10/13/2019
1257,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",10/13/2019
1258,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",10/13/2019
1259,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",10/13/2019
1260,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",10/13/2019
1261,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",10/12/2019
1262,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",10/12/2019
1263,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",10/11/2019
1264,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",10/11/2019
1265,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",10/11/2019
1266,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",10/11/2019
1267,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",10/11/2019
1268,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",10/10/2019
1269,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",10/6/2019
1270,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",10/6/2019
1271,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",10/5/2019
1272,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",6/3/2019
1273,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",4/24/2019
1274,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",4/24/2019
1275,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",2/4/2019
1276,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",8/9/2018
1277,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",8/8/2018
1278,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",8/8/2018
1279,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",8/7/2018
1280,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",8/7/2018
1281,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",8/7/2018
1282,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",8/6/2018
1283,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",8/6/2018
1284,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",8/6/2018
1285,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",8/6/2018
1286,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",8/3/2018
1287,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",8/3/2018
1288,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",8/3/2018
1289,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",8/3/2018
1290,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",8/3/2018
1291,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",8/3/2018
1292,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",8/3/2018
1293,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",8/2/2018
1294,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",6/2/2018
1295,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",5/27/2018
1296,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",5/27/2018
1297,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",5/26/2018
1298,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",3/26/2018
1299,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",3/26/2018
1300,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",3/26/2018
1301,Breaking Bad,TV-MA,2013,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",3/26/2018
1302,MINDHUNTER,TV-MA,2019,TV Show,"Crime TV Shows, TV Dramas, TV Mysteries",6/27/2020
1303,MINDHUNTER,TV-MA,2019,TV Show,"Crime TV Shows, TV Dramas, TV Mysteries",8/24/2019
1304,Sacred Games,TV-MA,2019,TV Show,"Crime TV Shows, International TV Shows, TV Dramas",7/17/2018
1305,Knightfall,TV-14,2019,TV Show,TV Dramas,11/1/2018
1306,Grand Designs,TV-14,2017,TV Show,"British TV Shows, International TV Shows, Reality TV",8/3/2018
1307,Grand Designs,TV-14,2017,TV Show,"British TV Shows, International TV Shows, Reality TV",7/3/2018
1308,Grand Designs,TV-14,2017,TV Show,"British TV Shows, International TV Shows, Reality TV",6/15/2018
1309,Grand Designs,TV-14,2017,TV Show,"British TV Shows, International TV Shows, Reality TV",6/14/2018
1310,Grand Designs,TV-14,2017,TV Show,"British TV Shows, International TV Shows, Reality TV",6/11/2018
1311,Grand Designs,TV-14,2017,TV Show,"British TV Shows, International TV Shows, Reality TV",6/8/2018
1312,Grand Designs,TV-14,2017,TV Show,"British TV Shows, International TV Shows, Reality TV",6/8/2018
1313,Grand Designs,TV-14,2017,TV Show,"British TV Shows, International TV Shows, Reality TV",6/7/2018
1314,Grand Designs,TV-14,2017,TV Show,"British TV Shows, International TV Shows, Reality TV",6/4/2018
1315,Grand Designs,TV-14,2017,TV Show,"British TV Shows, International TV Shows, Reality TV",6/2/2018
1316,Grand Designs,TV-14,2017,TV Show,"British TV Shows, International TV Shows, Reality TV",6/2/2018
1317,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/8/2020
1318,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/7/2020
1319,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/7/2020
1320,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/7/2020
1321,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/7/2020
1322,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/7/2020
1323,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/7/2020
1324,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/7/2020
1325,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/7/2020
1326,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/7/2020
1327,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/6/2020
1328,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/6/2020
1329,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/6/2020
1330,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/6/2020
1331,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/6/2020
1332,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/6/2020
1333,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/6/2020
1334,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/6/2020
1335,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/6/2020
1336,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/6/2020
1337,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/6/2020
1338,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/6/2020
1339,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/6/2020
1340,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/6/2020
1341,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/6/2020
1342,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/6/2020
1343,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/6/2020
1344,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/6/2020
1345,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/6/2020
1346,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/5/2020
1347,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/5/2020
1348,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/5/2020
1349,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/5/2020
1350,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/5/2020
1351,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/5/2020
1352,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/5/2020
1353,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/5/2020
1354,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/5/2020
1355,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/5/2020
1356,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/5/2020
1357,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/5/2020
1358,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/5/2020
1359,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/5/2020
1360,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/5/2020
1361,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/5/2020
1362,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/5/2020
1363,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/5/2020
1364,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/5/2020
1365,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/5/2020
1366,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/5/2020
1367,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/4/2020
1368,Kim's Convenience,TV-14,2019,TV Show,TV Comedies,6/4/2020
1369,Crazy Ex-Girlfriend,TV-14,2019,TV Show,"Romantic TV Shows, TV Comedies",5/18/2020
1370,Crazy Ex-Girlfriend,TV-14,2019,TV Show,"Romantic TV Shows, TV Comedies",5/18/2020
1371,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",4/12/2019
1372,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",4/12/2019
1373,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",4/12/2019
1374,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",4/12/2019
1375,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",4/12/2019
1376,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",4/12/2019
1377,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",4/11/2019
1378,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",4/11/2019
1379,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/5/2019
1380,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/5/2019
1381,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/5/2019
1382,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/5/2019
1383,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/4/2019
1384,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/4/2019
1385,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/4/2019
1386,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/4/2019
1387,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/4/2019
1388,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/4/2019
1389,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/4/2019
1390,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/3/2019
1391,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/3/2019
1392,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/3/2019
1393,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/3/2019
1394,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/3/2019
1395,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/3/2019
1396,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/3/2019
1397,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/3/2019
1398,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/3/2019
1399,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/3/2019
1400,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/2/2019
1401,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/2/2019
1402,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/2/2019
1403,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/2/2019
1404,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/2/2019
1405,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/2/2019
1406,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/2/2019
1407,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/2/2019
1408,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/2/2019
1409,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/1/2019
1410,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/1/2019
1411,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/1/2019
1412,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/1/2019
1413,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/1/2019
1414,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/1/2019
1415,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/1/2019
1416,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/1/2019
1417,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",3/1/2019
1418,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/28/2019
1419,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/28/2019
1420,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/28/2019
1421,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/28/2019
1422,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/28/2019
1423,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/28/2019
1424,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/28/2019
1425,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/28/2019
1426,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/28/2019
1427,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/25/2019
1428,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/25/2019
1429,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/25/2019
1430,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/25/2019
1431,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/25/2019
1432,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/25/2019
1433,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/25/2019
1434,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/25/2019
1435,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/25/2019
1436,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/25/2019
1437,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/25/2019
1438,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/25/2019
1439,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/25/2019
1440,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/25/2019
1441,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/25/2019
1442,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/24/2019
1443,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/24/2019
1444,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/24/2019
1445,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/24/2019
1446,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/24/2019
1447,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/23/2019
1448,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/23/2019
1449,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/23/2019
1450,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/23/2019
1451,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/23/2019
1452,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/23/2019
1453,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/23/2019
1454,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/23/2019
1455,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/23/2019
1456,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/22/2019
1457,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/22/2019
1458,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/22/2019
1459,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/22/2019
1460,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/21/2019
1461,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/21/2019
1462,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/21/2019
1463,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/20/2019
1464,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/20/2019
1465,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/20/2019
1466,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/20/2019
1467,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/20/2019
1468,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/19/2019
1469,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/19/2019
1470,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/19/2019
1471,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/19/2019
1472,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/18/2019
1473,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/18/2019
1474,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/17/2019
1475,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/17/2019
1476,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/17/2019
1477,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/17/2019
1478,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/17/2019
1479,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/17/2019
1480,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/17/2019
1481,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/16/2019
1482,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/16/2019
1483,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/15/2019
1484,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/15/2019
1485,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/15/2019
1486,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/15/2019
1487,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/15/2019
1488,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/13/2019
1489,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/13/2019
1490,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/12/2019
1491,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/12/2019
1492,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/11/2019
1493,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/11/2019
1494,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/11/2019
1495,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/11/2019
1496,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/11/2019
1497,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/11/2019
1498,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/10/2019
1499,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/10/2019
1500,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/10/2019
1501,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/10/2019
1502,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/10/2019
1503,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/9/2019
1504,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/9/2019
1505,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/9/2019
1506,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/9/2019
1507,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/9/2019
1508,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/9/2019
1509,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/9/2019
1510,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/8/2019
1511,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/8/2019
1512,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/8/2019
1513,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",2/8/2019
1514,New Girl,TV-14,2017,TV Show,"Romantic TV Shows, TV Comedies",1/12/2019
