,title,rating,release_year,type,listed_in,Date
276,The 2000s,TV-MA,2018,TV Show,Docuseries,3/14/2019
277,Cooked,TV-PG,2016,TV Show,Docuseries,11/13/2018
278,The 43,TV-MA,2019,TV Show,"Crime TV Shows, Docuseries, International TV Shows",2/15/2019
279,The Umbrella Academy,TV-14,2019,TV Show,"TV Action & Adventure, TV Mysteries, TV Sci-Fi & Fantasy",8/23/2020
280,The Umbrella Academy,TV-14,2019,TV Show,"TV Action & Adventure, TV Mysteries, TV Sci-Fi & Fantasy",8/2/2020
281,The Umbrella Academy,TV-14,2019,TV Show,"TV Action & Adventure, TV Mysteries, TV Sci-Fi & Fantasy",2/23/2019
282,The Umbrella Academy,TV-14,2019,TV Show,"TV Action & Adventure, TV Mysteries, TV Sci-Fi & Fantasy",2/23/2019
283,The Umbrella Academy,TV-14,2019,TV Show,"TV Action & Adventure, TV Mysteries, TV Sci-Fi & Fantasy",2/23/2019
284,The Umbrella Academy,TV-14,2019,TV Show,"TV Action & Adventure, TV Mysteries, TV Sci-Fi & Fantasy",2/23/2019
285,The Umbrella Academy,TV-14,2019,TV Show,"TV Action & Adventure, TV Mysteries, TV Sci-Fi & Fantasy",2/23/2019
286,The Umbrella Academy,TV-14,2019,TV Show,"TV Action & Adventure, TV Mysteries, TV Sci-Fi & Fantasy",2/22/2019
287,The Umbrella Academy,TV-14,2019,TV Show,"TV Action & Adventure, TV Mysteries, TV Sci-Fi & Fantasy",2/22/2019
288,The Umbrella Academy,TV-14,2019,TV Show,"TV Action & Adventure, TV Mysteries, TV Sci-Fi & Fantasy",2/22/2019
289,The Umbrella Academy,TV-14,2019,TV Show,"TV Action & Adventure, TV Mysteries, TV Sci-Fi & Fantasy",2/22/2019
290,The Umbrella Academy,TV-14,2019,TV Show,"TV Action & Adventure, TV Mysteries, TV Sci-Fi & Fantasy",2/15/2019
291,About a Boy,PG-13,2002,Movie,"Comedies, Dramas, International Movies",9/18/2019
292,Russian Doll,TV-MA,2019,TV Show,"TV Comedies, TV Dramas",2/2/2019
293,Russian Doll,TV-MA,2019,TV Show,"TV Comedies, TV Dramas",2/2/2019
294,Russian Doll,TV-MA,2019,TV Show,"TV Comedies, TV Dramas",2/2/2019
295,Russian Doll,TV-MA,2019,TV Show,"TV Comedies, TV Dramas",2/2/2019
296,Russian Doll,TV-MA,2019,TV Show,"TV Comedies, TV Dramas",2/2/2019
297,Russian Doll,TV-MA,2019,TV Show,"TV Comedies, TV Dramas",2/2/2019
298,Russian Doll,TV-MA,2019,TV Show,"TV Comedies, TV Dramas",2/2/2019
